Controls,Evidence/Request Item,Request Date,Due Date,Status,Owner,Assessor Comments,CSP Comments
AC-1,Provide evidence of annual review for: Access control procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Access control procedures review.,Ticket linked.
AU-1,Provide evidence of annual review for: Audit and accountability procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Audit and accountability procedures review.,Ticket linked.
CA-1,Provide evidence of annual review for: Security assessment and authorization procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Security assessment and authorization procedures review.,Ticket linked.
CM-1,Provide evidence of annual review for: Configuration management procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Configuration management procedures review.,Ticket linked.
CP-1,Provide evidence of annual review for: Contingency planning procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Contingency planning procedures review.,Ticket linked.
CP-2,Provide evidence of annual review for: Reviews the contingency plan for the information system,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Reviews the contingency plan for the information system review.,Ticket linked.
IA-1,Provide evidence of annual review for: Identification and authentication procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Identification and authentication procedures review.,Ticket linked.
IR-1,Provide evidence of annual review for: Incident response procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Incident response procedures review.,Ticket linked.
MA-1,Provide evidence of annual review for: System maintenance procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving System maintenance procedures review.,Ticket linked.
MP-1,Provide evidence of annual review for: Media protection procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Media protection procedures review.,Ticket linked.
PE-1,Provide evidence of annual review for: Physical and environmental protection procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Physical and environmental protection procedures review.,Ticket linked.
PL-1,Provide evidence of annual review for: Security planning procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Security planning procedures review.,Ticket linked.
PL-2,Provide evidence of annual review for: Reviews the security plan for the information system,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Reviews the security plan for the information system review.,Ticket linked.
RA-1,Provide evidence of annual review for: Risk assessment procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Risk assessment procedures review.,Ticket linked.
SA-1,Provide evidence of annual review for: System and services acquisition procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving System and services acquisition procedures review.,Ticket linked.
SC-1,Provide evidence of annual review for: System and communications protection procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving System and communications protection procedures review.,Ticket linked.
SI-1,Provide evidence of annual review for: System and information integrity procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving System and information integrity procedures review.,Ticket linked.
PM-1,Provide evidence of annual review for: Program management procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Program management procedures review.,Ticket linked.
PT-1,Provide evidence of annual review for: Personally identifiable information processing and transparency procedures,2026-04-01,2026-05-01,Open,Compliance Team,Need signed memo or ticket proving Personally identifiable information processing and transparency procedures review.,Ticket linked.
