Controls,Evidence/Request Item,Request Date,Due Date,Status,Owner,Assessor Comments,CSP Comments
"CM-8, CM-8(1), CM-8(3)","Provide the latest Integrated Inventory Workbook (IIW) plus an authoritative AWS account dump (EC2, RDS, ELB/ALB, S3, VPC) so we can reconcile declared vs. discovered inventory.",2026-04-12,2026-04-19,Open,CSP Eng,"Prior cycle had stale rows for prod-api-01; please confirm CMDB owner and scrub orphaned entries.","Will export from CloudWatch Inventory and TrendMicro inventory; expect to deliver by 2026-04-18."
"CM-8, CA-7","Inventory of Load Balancers (ALB/NLB) and S3 buckets including IP ranges and public-exposure flag.",2026-04-12,2026-04-22,In Progress,CSP Eng,,"S3 inventory dump generated 2026-04-15; ALB/NLB inventory pending."
"RA-5, RA-5(3), RA-5(5)","Provide the Nessus scan target list and credentialed-scan profile evidence for the boundary; show that all in-boundary assets are in scope and credentialed.",2026-04-12,2026-04-26,Open,Vuln Mgmt,"Last cycle excluded prod-db-01 RDS subnet; need confirmation it is now in scope.","Tenable scan policy attached; will provide credentialed-scan plugin coverage."
"RA-5, SI-2","Latest Nessus vulnerability scan reports (full scope) plus Burp web-app scan signatures and any deltas vs. prior cycle.",2026-04-12,2026-04-26,Open,Vuln Mgmt,"Highlight any net-new High/Critical findings.","Burp scan was rerun against the public ALB; Nessus weekly scan attached."
"RA-5(8)","Exploitation review for all High/Critical vulnerabilities open >30 days. Show IoC search and historical audit log review for each finding.",2026-04-19,2026-05-03,Open,SOC,"Per FedRAMP guidance, HIGH/CRITICAL >30 days require a documented exploitation review with IoC matches and historical log queries.","Splunk searches saved under app `vuln_exploit_review`; will provide rendered evidence."
"AU-2, AU-3, AU-6, AU-12","Demonstrate centralized audit log aggregation: provide Splunk dashboards/searches showing CloudTrail, VPC Flow Logs, CloudWatch Logs, and OS auth.log are reaching the SIEM.",2026-04-12,2026-04-19,Open,Logging,"Need both centralized view AND a local log example from a production host to prove forwarder is healthy.","Splunk app `aws_central_logs` dashboards; local `auth.log` sample from prod-api-01 attached separately."
"AU-6, SI-4","Provide the alert rules / saved searches with recipient lists (SOC, IR, IAM Governance) and at least one example alert that fired and was actioned.",2026-04-12,2026-04-26,Open,SOC,"We need the recipient list explicitly; ensure GuardDuty notifications also route to a monitored mailbox.","Splunk alert export attached; GuardDuty -> EventBridge -> SOC PagerDuty."
"SI-4(1), SI-4(4)","List CloudWatch alarms and GuardDuty findings considered ""suspicious activity""; map each to a documented response action.",2026-04-19,2026-05-03,Open,SOC,,
"CM-3, SI-2","Sample change tickets in JIRA with full evidence chain: Security Impact Analysis, testing artifacts, CAB approval, deployment evidence, post-deploy verification.",2026-04-12,2026-04-26,Open,Change Mgmt,"At least 5 sampled tickets including one VULN-* remediation; verify SIA was performed BEFORE deployment.","Pulled CHG-8842, CHG-9011, VULN-9912 from JIRA; will provide SIA + test + approval + deploy + verify per ticket."
"CA-5","POA&M updates: Provide the current POA&M with deviation requests, vendor dependencies, and operational requirements clearly noted.",2026-04-19,2026-04-30,In Progress,GRC,"Please cite which open POA&Ms are blocked on vendor or operational requirements vs. internal scheduling.","Updated POA&M attached as `poam_2026Q2.csv` with deviation columns."
"IR-4, IR-6","Incident response evidence: any suspected or confirmed incidents in the past 12 months, including US-CERT/CISA notifications and incident closure records.",2026-04-12,2026-05-10,Open,IR,"If there were no incidents, provide a signed attestation; otherwise provide the IR ticket(s) and CISA report.","No confirmed incidents; one suspected (false positive) — full IR ticket IR-2026-014 attached."
"SC-13, SC-28, SC-12","FIPS 140-2/3 evidence: list crypto modules in use (AWS KMS, ALB ciphers, RDS encryption-at-rest), cipher list, and key rotation evidence for KMS keys.",2026-04-12,2026-04-26,Open,Crypto,"Confirm ALB TLS cipher list excludes deprecated ciphers; KMS key rotation enabled annually.","KMS rotation export + ALB listener policy attached."
"CP-9, CP-10","Backup and recovery evidence: most recent restore test (RTO/RPO measurements) and snapshot evidence for RDS + AMI snapshots.",2026-04-19,2026-05-10,Open,Ops,"Need actual restore-test ticket, not just the policy.","Restore test executed 2026-04-22 in DR region; ticket DR-2026-007 attached."
"AC-2, AC-2(7), AC-6","Account listings: full IAM user list with privileged-account tagging, MFA report, and most recent quarterly access review.",2026-04-12,2026-04-26,Open,IAM Governance,"Cross-check that every privileged account has MFA AND was reviewed in the latest cycle.","IAM listing + MFA report + Q1 access review export attached."
"SC-7, SC-7(11)","Traffic flow / boundary evidence: data flow diagram, security group inventory with ingress/egress rules, and the ports-and-protocols matrix.",2026-04-12,2026-04-26,Open,Network,"Highlight any ingress rule allowing 0.0.0.0/0 to administrative ports.","SG inventory + DFD + ports/protocols matrix attached; one tagged exception for break-glass remains."
"AC-2","Closed item — prior-cycle access review attestation (already accepted).",2026-04-12,2026-04-19,Closed,IAM Governance,"Accepted from prior cycle.","No further action."
